,Model,PitchGroup,Cluster,GlobalMean
0,L,0.0,0,-0.008030459592269648
1,L,0.0,1,0.015234710106391198
2,L,0.0,2,-0.02267611636055338
3,L,0.0,3,-0.003336449250991228
4,L,0.0,4,-0.018933186211390948
5,L,0.0,5,-0.005615764761260535
6,L,0.0,6,-0.004939713123842661
7,L,0.0,7,-0.007639247202812625
8,L,0.0,8,0.023596121726693724
9,L,0.0,9,-0.011369799580490392
10,L,0.0,10,0.009451933059731514
11,L,0.0,11,0.01769050167226726
12,L,0.0,12,-0.002808423043035181
13,L,0.0,13,-0.0022770710867203083
14,L,0.0,14,0.005372229926486211
15,L,0.0,15,-0.016781378796892853
16,L,0.0,16,0.03560014317099829
17,L,0.0,17,-0.004213700196190837
18,L,0.0,18,0.008685505131787348
19,L,0.0,19,-0.009843524182532057
20,L,0.0,20,-0.001093100714866403
21,L,0.0,21,0.047722855200956156
22,L,0.0,22,-0.003463043274253675
23,L,0.0,23,0.04020263962374698
24,L,0.0,24,0.021524766142416652
25,L,1.0,0,-0.007486639317598642
26,L,1.0,1,-0.006892049398686112
27,L,1.0,2,-0.0055623743844691095
28,L,1.0,3,0.04153187612826331
29,L,1.0,4,0.013727163840583829
30,L,1.0,5,-0.00797212723331398
31,L,1.0,6,-0.0033712401159047855
32,L,1.0,7,0.012838397656592365
33,L,1.0,8,-0.002727016115705297
34,L,1.0,9,0.017753921706608597
35,L,1.0,10,-9.25902767800211e-05
36,L,1.0,11,0.007692698037172156
37,L,1.0,12,0.02562075605259247
38,L,1.0,13,0.0030312590370469806
39,L,1.0,14,-0.00940547353422501
40,L,1.0,15,0.01428599517259155
41,L,1.0,16,-0.013590852026361684
42,L,1.0,17,0.0005477581474540303
43,L,1.0,18,0.02962370454546368
44,L,1.0,19,-0.0076567900355190436
45,L,1.0,20,0.008193808421514194
46,L,1.0,21,-0.009293898577376097
47,L,1.0,22,-0.009758975817732747
48,L,1.0,23,-0.0006763502656462752
49,L,1.0,24,0.003260233328018928
50,L,2.0,0,-0.0037409112080041794
51,L,2.0,1,0.006501803333006898
52,L,2.0,2,2.2217096190254446e-05
53,L,2.0,3,0.028952681634775608
54,L,2.0,4,-0.018751104350283137
55,L,2.0,5,0.0035590205811212817
56,L,2.0,6,-0.016419163838504055
57,L,2.0,7,-0.014698342862612816
58,L,2.0,8,0.020894185870966565
59,L,2.0,9,0.0016219979668897178
60,L,2.0,10,-0.002109959439977814
61,L,2.0,11,0.006743275778230689
62,L,2.0,12,-0.004001788405164128
63,L,2.0,13,0.008786694954295257
64,L,2.0,14,-0.008951964324487253
65,L,2.0,15,-0.005123703779882227
66,L,2.0,16,0.0001815330796471164
67,L,2.0,17,0.03586059273656571
68,L,2.0,18,0.024693034480503775
69,L,2.0,19,-0.017051108541108487
70,L,2.0,20,0.0450257973057984
71,L,2.0,21,0.03267549446902599
72,L,2.0,22,-0.008923661920200995
73,L,2.0,23,-0.014769361742374053
74,L,2.0,24,0.013025183143804242
75,R,0.0,0,-0.0168596369590213
76,R,0.0,1,-0.0012646337996779493
77,R,0.0,2,0.0022190197080205446
78,R,0.0,3,-0.011544871356537856
79,R,0.0,4,0.02470295054684114
80,R,0.0,5,-0.007911038068593536
81,R,0.0,6,0.027215717850796958
82,R,0.0,7,0.013655940631202996
83,R,0.0,8,-0.0013793854584486212
84,R,0.0,9,-0.00791286262953502
85,R,0.0,10,-0.014053811883768627
86,R,0.0,11,0.04396455571540582
87,R,0.0,12,-0.021553248098077175
88,R,0.0,13,-0.015183588126833316
89,R,0.0,14,0.04750833528424182
90,R,0.0,15,0.009342152912605374
91,R,0.0,16,0.01213951067342598
92,R,0.0,17,-0.018044969371792886
93,R,0.0,18,0.0028998499338383442
94,R,0.0,19,-0.005411792965827746
95,R,0.0,20,0.019737543430291948
96,R,0.0,21,-0.008773702815709638
97,R,0.0,22,-0.011764768480517978
98,R,0.0,23,-0.01158817045832015
99,R,0.0,24,0.02963557742067719
100,R,1.0,0,-0.01455615288750566
101,R,1.0,1,0.006713709069408912
102,R,1.0,2,0.012980046265257839
103,R,1.0,3,0.02466589064723335
104,R,1.0,4,0.015084514372408663
105,R,1.0,5,-0.0087929338316775
106,R,1.0,6,-0.006335158550105548
107,R,1.0,7,0.010070091947957284
108,R,1.0,8,-0.006989475795992387
109,R,1.0,9,-0.011482109491018359
110,R,1.0,10,-0.008521003960442024
111,R,1.0,11,0.01762324245874195
112,R,1.0,12,-0.008572820359147693
113,R,1.0,13,-0.00018905177037024698
114,R,1.0,14,-0.0076844380470443485
115,R,1.0,15,-0.013220792271293288
116,R,1.0,16,-0.0035964349791636633
117,R,1.0,17,0.016407148176406327
118,R,1.0,18,-0.009984143795173348
119,R,1.0,19,-0.005751534896991432
120,R,1.0,20,0.0367015814727024
121,R,1.0,21,0.035477793457411144
122,R,1.0,22,-0.007152110354506043
123,R,1.0,23,-0.0035480640195865807
124,R,1.0,24,-0.0024943461056888844
125,R,2.0,0,-0.005095430422638071
126,R,2.0,1,-0.021271037051625093
127,R,2.0,2,0.029240151078578153
128,R,2.0,3,0.03860264457743068
129,R,2.0,4,-0.006999116929898864
130,R,2.0,5,-0.009927470994724581
131,R,2.0,6,0.00480662451062426
132,R,2.0,7,0.0038902665034287786
133,R,2.0,8,-0.005415003187147698
134,R,2.0,9,-0.01695350681433275
135,R,2.0,10,0.035538086491341304
136,R,2.0,11,-0.0022300310807007694
137,R,2.0,12,0.028609821669075546
138,R,2.0,13,0.05006236364586342
139,R,2.0,14,0.005039250665599346
140,R,2.0,15,-0.01864216533994927
141,R,2.0,16,0.03159749106691741
142,R,2.0,17,-0.011239038829368372
143,R,2.0,18,0.02045377211002617
144,R,2.0,19,-0.0016352153573287714
145,R,2.0,20,-0.009343349820031216
146,R,2.0,21,-0.008940169253098996
147,R,2.0,22,0.0123051751250103
148,R,2.0,23,0.02925150216622222
149,R,2.0,24,-0.010314388175113222
